timestamp,gps_lat,gps_lon,qmi_tag,rat_mode,lte_plmn,lte_tac,lte_ecgi,lte_earfcn,lte_pci,lte_rsrp_dbm,lte_rsrq_db,lte_rssi_dbm,nr_plmn,nr_tac,nr_nci,nr_arfcn,nr_pci,nr_rsrp_dbm,nr_rsrq_db,nr_snr_db
2026-03-29T16:15:04.271981Z,59.892929579,10.511361684,QMI,nsa,24201,33189,53217280,6400,456,-56.7,-6.5,-31.6,,,,643296,,,,
2026-03-29T16:15:10.558766Z,59.892756015,10.510507416,QMI,nsa,24201,33189,53217280,6400,456,-60.7,-6.3,-37.7,,,,643296,,,,
2026-03-29T16:15:16.659834Z,59.893072243,10.511116512,QMI,nsa,24201,33189,53217280,6400,456,-60.7,-6.2,-36.7,,,,643296,,,,
2026-03-29T16:15:22.893111Z,59.892859543,10.511321309,QMI,nsa,24201,33189,53217280,6400,456,-62.2,-7.3,-37.6,,,,643296,,,,
2026-03-29T16:15:29.031746Z,59.892887202,10.511383776,QMI,nsa,24201,33189,53217280,6400,456,-65.7,-6.7,-42.1,,,,643296,,,,
2026-03-29T16:15:35.212973Z,59.893184505,10.512115829,QMI,nsa,24201,33189,52425984,6400,456,-86.9,-18.4,-58.8,,,,643296,,,,
2026-03-29T16:15:41.332248Z,59.893177184,10.511912851,QMI,nsa,24201,33189,52425989,1450,285,-92.4,-16.5,-63.0,,,,643296,,,,
2026-03-29T16:15:47.420560Z,59.893342378,10.512129588,QMI,nsa,24201,33189,53790976,1450,285,-99.3,-14.9,-63.8,,,,643296,,,,
2026-03-29T16:15:53.532350Z,59.893396654,10.511819957,QMI,lte,24201,33189,52425989,1450,285,-106.4,-18.2,-78.2,,,,,,,,
2026-03-29T16:17:44.158081Z,59.893257135,10.511830281,QMI,lte,24201,33181,52425478,1450,466,-76.8,-10.1,-45.8,,,,,,,,
2026-03-29T16:17:49.558104Z,59.893184342,10.511334514,QMI,lte,24201,33181,52425478,1450,466,-70.3,-8.8,-42.4,,,,,,,,
2026-03-29T16:17:54.837317Z,59.893284242,10.511801671,QMI,lte,24201,33181,52425478,1450,466,-72.9,-12.2,-40.8,,,,,,,,
2026-03-29T16:18:00.208428Z,59.893447392,10.512435416,QMI,lte,24201,33181,52425476,1450,467,-70.9,-10.2,-41.6,,,,,,,,
2026-03-29T16:18:05.512305Z,59.8933423,10.512620108,QMI,lte,24201,33181,52425476,1450,467,-68.2,-10.2,-39.5,,,,,,,,
2026-03-29T16:18:10.943509Z,59.893486069,10.512557095,QMI,lte,24201,33181,52425476,1450,467,-71.7,-9.4,-42.7,,,,,,,,
2026-03-29T16:18:16.253498Z,59.893464881,10.512568141,QMI,lte,24201,33181,52425476,1450,467,-77.1,-11.7,-45.2,,,,,,,,
2026-03-29T16:18:21.586887Z,59.893606838,10.513212937,QMI,nsa,24201,33181,52425476,1450,467,-73.4,-10.4,-43.7,,,,643296,,,,
2026-03-29T16:18:28.057047Z,59.893575796,10.513094516,QMI,nsa,24201,33181,52425476,1450,467,-83.5,-11.1,-53.6,,,,643296,,,,
