timestamp,gps_lat,gps_lon,qmi_tag,rat_mode,lte_plmn,lte_tac,lte_ecgi,lte_earfcn,lte_pci,lte_rsrp_dbm,lte_rsrq_db,lte_rssi_dbm,nr_plmn,nr_tac,nr_nci,nr_arfcn,nr_pci,nr_rsrp_dbm,nr_rsrq_db,nr_snr_db
2026-03-29T16:10:49.028625Z,,,QMI,nsa,24201,33189,52252164,300,96,-91.1,-13.5,-60.3,,,,152690,,,,
2026-03-29T16:10:56.293597Z,,,QMI,nsa,24201,33189,52252164,300,96,-92.7,-11.5,-61.0,,,,152690,,,,
2026-03-29T16:12:01.523090Z,,,QMI,nsa,24201,33189,52620296,300,82,-82.9,-8.1,-54.4,,,,152690,,,,
2026-03-29T16:12:16.936697Z,,,QMI,nsa,24201,33189,52620296,300,82,-92.5,-13.8,-59.0,,,,152690,,,,
2026-03-29T16:12:32.280536Z,,,QMI,nsa,24201,33189,52620294,300,82,-95.8,-20.0,-64.1,,,,152690,,,,
2026-03-29T16:12:42.643015Z,,,QMI,nsa,24201,33189,52620294,300,82,-92.2,-16.4,-66.4,,,,152690,,,,
2026-03-29T16:12:47.980161Z,,,QMI,nsa,24201,33189,52620294,300,82,-99.4,-20.0,-59.4,,,,152690,,,,
2026-03-29T16:12:53.300382Z,,,QMI,nsa,24201,33189,52620294,300,82,-94.4,-18.0,-64.9,,,,152690,,,,
2026-03-29T16:12:58.681573Z,,,QMI,nsa,24201,33189,52620294,300,82,-94.4,-18.0,-64.9,,,,152690,,,,
2026-03-29T16:13:04.040726Z,,,QMI,nsa,24201,33189,52620294,300,81,-80.0,-8.3,-51.6,,,,152690,,,,
2026-03-29T16:13:09.362627Z,,,QMI,nsa,24201,33189,52620294,300,81,-102.3,-16.1,-65.9,,,,152690,,,,
2026-03-29T16:13:14.722276Z,,,QMI,nsa,24201,33189,52620294,300,81,-96.1,-12.5,-62.3,,,,643296,,,,
2026-03-29T16:13:20.122441Z,,,QMI,lte,24201,33189,52620294,300,81,-102.4,-17.2,-62.5,,,,,,,,
2026-03-29T16:13:26.056017Z,,,QMI,nsa,24201,33189,52620294,300,81,-82.2,-7.8,-53.7,,,,643296,,,,
2026-03-29T16:13:31.397779Z,,,QMI,nsa,24201,33189,52620294,300,81,-80.4,-8.1,-52.2,,,,643296,,,,
2026-03-29T16:13:36.717882Z,,,QMI,nsa,24201,33189,52620294,300,81,-83.3,-8.7,-55.9,,,,643296,,,,
2026-03-29T16:15:04.152671Z,,,QMI,nsa,24201,33189,53790977,3150,72,-77.4,-8.4,-56.1,,,,643296,,,,
2026-03-29T16:15:10.068952Z,,,QMI,nsa,24201,33189,53790977,3150,72,-71.8,-11.1,-42.1,,,,643296,,,,
2026-03-29T16:15:15.612431Z,,,QMI,nsa,24201,33189,53790977,3150,72,-75.4,-8.1,-47.2,,,,643296,,,,
2026-03-29T16:15:21.832367Z,,,QMI,lte,24201,33189,53790977,3150,72,-83.0,-8.2,-55.0,,,,,,,,
2026-03-29T16:15:27.531443Z,,,QMI,lte,24201,33189,53790977,3150,72,-81.8,-8.1,-53.8,,,,,,,,
2026-03-29T16:15:33.292714Z,,,QMI,lte,24201,33189,53790977,3150,72,-98.7,-8.6,-70.6,,,,,,,,
2026-03-29T16:15:38.911366Z,,,QMI,lte,24201,33189,53790977,3150,72,-100.9,-8.6,-71.6,,,,,,,,
2026-03-29T16:15:44.604764Z,,,QMI,lte,24201,33189,53790977,3150,72,-93.7,-8.4,-67.7,,,,,,,,
2026-03-29T16:15:50.313144Z,,,QMI,lte,24201,33189,53790977,3150,72,-108.7,-11.6,-76.1,,,,,,,,
2026-03-29T16:17:45.918098Z,,,QMI,nsa,24201,33181,52425478,1450,466,-68.9,-7.9,-39.9,,,,643296,,,,
2026-03-29T16:18:51.200614Z,,,QMI,nsa,24201,33181,53055745,1450,53,-88.9,-20.0,-52.0,,,,152690,,,,
2026-03-29T16:18:57.170951Z,,,QMI,nsa,24201,33181,53055745,1450,53,-99.6,-20.0,-69.1,,,,152690,,,,
2026-03-29T16:19:02.878987Z,,,QMI,lte,24201,33181,53055745,1450,51,-96.2,-12.5,-63.6,,,,,,,,
2026-03-29T16:19:09.117967Z,,,QMI,lte,24201,33181,53055745,1450,51,-101.2,-14.1,-65.1,,,,,,,,
2026-03-29T16:19:14.700719Z,,,QMI,lte,24201,33181,53055745,1450,51,-102.7,-17.1,-65.8,,,,,,,,
2026-03-29T16:19:20.298047Z,,,QMI,lte,24201,33181,53055745,1450,51,-107.6,-20.0,-66.0,,,,,,,,
2026-03-29T16:19:26.075739Z,,,QMI,lte,24201,33181,51288578,1450,462,-100.6,-7.8,-71.2,,,,,,,,
2026-03-29T16:20:31.561714Z,,,QMI,nsa,24201,33181,51288578,1450,462,-112.6,-19.7,-65.9,,,,152690,,,,
2026-03-29T16:20:36.910777Z,,,QMI,nsa,24201,33181,51288578,1450,462,-108.1,-18.8,-65.6,,,,152690,,,,
2026-03-29T16:20:42.224447Z,,,QMI,lte,24201,33181,52838663,1450,280,-110.3,-20.0,-65.8,,,,,,,,
2026-03-29T16:20:47.700570Z,,,QMI,lte,24201,33181,52838663,1450,280,-108.5,-16.0,-66.0,,,,,,,,
2026-03-29T16:20:53.109603Z,,,QMI,lte,24201,33181,52838663,1450,280,-104.2,-11.5,-65.5,,,,,,,,
2026-03-29T16:20:58.508610Z,,,QMI,lte,24201,33181,52838663,1450,280,-105.4,-12.2,-65.5,,,,,,,,
2026-03-29T16:21:03.908713Z,,,QMI,lte,24201,33181,52838663,1450,280,-94.0,-9.6,-63.7,,,,,,,,
