timestamp,gps_lat,gps_lon,qmi_tag,rat_mode,lte_plmn,lte_tac,lte_ecgi,lte_earfcn,lte_pci,lte_rsrp_dbm,lte_rsrq_db,lte_rssi_dbm,nr_plmn,nr_tac,nr_nci,nr_arfcn,nr_pci,nr_rsrp_dbm,nr_rsrq_db,nr_snr_db
2026-04-04T16:49:22.030888Z,,,QMI,lte,24201,33156,53472259,1450,282,-105.3,-16.5,-63.1,,,,,,,,
2026-04-04T16:49:29.278501Z,,,QMI,lte,24201,33156,53472259,1450,282,-97.8,-13.7,-62.5,,,,,,,,
2026-04-04T16:52:54.752535Z,,,QMI,lte,24201,33156,54680834,6400,301,-105.4,-15.6,-72.9,,,,,,,,
2026-04-04T16:53:00.899510Z,60.525579852,8.95989475,QMI,lte,24201,33156,52795395,6400,301,-104.0,-16.8,-74.6,,,,,,,,
2026-04-04T16:53:06.499818Z,60.525506954,8.959892885,QMI,lte,24201,33156,52795395,6400,17,-100.3,-15.4,-67.9,,,,,,,,
2026-04-04T16:53:12.340068Z,60.525421508,8.959777432,QMI,lte,24201,33156,52795396,3750,75,-97.6,-13.6,-66.4,,,,,,,,
2026-04-04T16:53:17.902899Z,60.525351077,8.960089838,QMI,lte,24201,33156,52795396,3750,75,-91.3,-12.7,-60.8,,,,,,,,
2026-04-04T16:53:23.470101Z,60.525319861,8.960135289,QMI,lte,24201,33156,52795396,3750,75,-90.8,-12.4,-61.2,,,,,,,,
2026-04-04T16:53:29.039249Z,60.525295179,8.960018865,QMI,lte,24201,33156,52795396,3750,75,-90.6,-12.1,-62.7,,,,,,,,
2026-04-04T16:53:34.640259Z,60.525269663,8.960213875,QMI,lte,24201,33156,52795396,3750,75,-86.3,-11.5,-57.3,,,,,,,,
2026-04-04T16:53:40.240499Z,60.525236464,8.960223353,QMI,lte,24201,33156,52795396,3750,75,-85.4,-12.1,-56.0,,,,,,,,
2026-04-04T16:53:45.839439Z,60.52525673,8.960339777,QMI,lte,24201,33156,54680833,3750,242,-80.6,-10.6,-51.4,,,,,,,,
2026-04-04T16:53:51.568744Z,60.52508625,8.960752557,QMI,lte,24201,33156,54680832,300,183,-91.0,-13.1,-58.4,,,,,,,,
2026-04-04T16:53:57.191507Z,60.525119417,8.960392839,QMI,lte,24201,33156,54680832,300,183,-99.4,-13.8,-62.7,,,,,,,,
2026-04-04T16:54:02.819723Z,60.525072485,8.960656955,QMI,lte,24201,33156,54680832,300,183,-109.3,-20.0,-64.1,,,,,,,,
2026-04-04T16:54:08.457827Z,60.525053467,8.960872785,QMI,lte,24201,33156,54680837,300,339,-101.8,-18.6,-61.9,,,,,,,,
2026-04-04T16:54:14.085787Z,60.525132865,8.960895474,QMI,lte,24201,33156,54680837,300,339,-104.4,-20.0,-60.2,,,,,,,,
2026-04-04T16:54:19.685451Z,60.525010534,8.961026149,QMI,lte,24201,33156,52797191,300,380,-103.8,-15.8,-63.9,,,,,,,,
2026-04-04T16:54:25.289119Z,60.524969269,8.961089584,QMI,lte,24201,33156,52797191,300,380,-103.1,-15.7,-64.5,,,,,,,,
