timestamp,gps_lat,gps_lon,qmi_tag,rat_mode,lte_plmn,lte_tac,lte_ecgi,lte_earfcn,lte_pci,lte_rsrp_dbm,lte_rsrq_db,lte_rssi_dbm,nr_plmn,nr_tac,nr_nci,nr_arfcn,nr_pci,nr_rsrp_dbm,nr_rsrq_db,nr_snr_db
2026-03-25T09:14:19.225280Z,,,QMI,lte,24201,33131,51215618,3150,93,-96.8,-10.8,-66.3,,,,,,,,
2026-03-25T09:14:24.888148Z,,,QMI,lte,24201,33131,51215618,3150,93,-95.2,-9.8,-65.4,,,,,,,,
2026-03-25T09:14:30.908422Z,,,QMI,lte,24201,33131,51215618,3150,93,-96.0,-10.0,-65.5,,,,,,,,
2026-03-25T09:14:36.623592Z,,,QMI,lte,24201,33131,51215618,3150,93,-94.8,-10.1,-63.7,,,,,,,,
2026-03-25T09:14:42.181278Z,,,QMI,lte,24201,33131,51215618,3150,93,-94.4,-9.2,-64.8,,,,,,,,
2026-03-25T09:14:47.839642Z,,,QMI,lte,24201,33131,51215618,3150,93,-98.6,-9.9,-68.5,,,,,,,,
2026-03-25T09:14:53.409784Z,,,QMI,lte,24201,33131,51215618,3150,93,-97.4,-9.7,-67.6,,,,,,,,
2026-03-25T09:14:59.049937Z,,,QMI,lte,24201,33131,51215618,3150,93,-98.2,-9.7,-68.4,,,,,,,,
2026-03-25T09:15:04.583885Z,,,QMI,lte,24201,33131,51228937,1450,26,-90.3,-17.2,-53.9,,,,,,,,
2026-03-25T09:15:10.157694Z,,,QMI,lte,24201,33131,51228937,1450,26,-88.1,-16.0,-51.8,,,,,,,,
2026-03-25T09:15:15.729110Z,,,QMI,lte,24201,33131,51228937,1450,26,-87.2,-17.1,-50.6,,,,,,,,
2026-03-25T09:15:21.271983Z,,,QMI,lte,24201,33131,51228937,1450,26,-90.3,-19.5,-52.3,,,,,,,,
2026-03-25T09:15:26.802740Z,,,QMI,lte,24201,33131,51228937,1450,26,-83.7,-13.2,-50.9,,,,,,,,
2026-03-25T09:15:32.368613Z,,,QMI,lte,24201,33131,51228937,1450,26,-87.5,-19.6,-47.0,,,,,,,,
2026-03-25T09:15:37.873358Z,,,QMI,lte,24201,33131,51228937,1450,26,-86.8,-17.0,-49.6,,,,,,,,
2026-03-25T09:15:43.409014Z,,,QMI,lte,24201,33131,51228937,1450,26,-86.3,-16.7,-50.0,,,,,,,,
2026-03-25T09:15:49.143313Z,,,QMI,lte,24201,33131,51228937,1450,26,-87.8,-16.8,-51.3,,,,,,,,
2026-03-25T09:15:54.835122Z,,,QMI,lte,24201,33131,51228937,1450,26,-86.9,-16.9,-50.0,,,,,,,,
2026-03-25T09:16:00.387126Z,,,QMI,lte,24201,33131,51228937,1450,26,-87.0,-16.0,-51.2,,,,,,,,
2026-03-25T09:16:05.952450Z,,,QMI,lte,24201,33131,51228937,1450,26,-93.0,-18.6,-53.9,,,,,,,,
2026-03-25T09:16:11.554228Z,,,QMI,lte,24201,33131,51228937,1450,26,-91.9,-17.7,-52.5,,,,,,,,
2026-03-25T09:16:17.136768Z,,,QMI,lte,24201,33131,51228937,1450,26,-91.2,-19.0,-50.5,,,,,,,,
2026-03-25T09:16:22.712807Z,,,QMI,lte,24201,33131,51228937,1450,26,-91.7,-17.9,-49.9,,,,,,,,
2026-03-25T09:16:28.223791Z,,,QMI,lte,24201,33131,51287564,1450,26,-89.6,-15.3,-64.9,,,,,,,,
2026-03-25T09:16:33.728982Z,,,QMI,lte,24201,33131,51287564,1450,26,-88.4,-14.9,-64.5,,,,,,,,
2026-03-25T09:16:39.270115Z,,,QMI,lte,24201,33131,51287564,1450,172,-86.2,-11.9,-53.9,,,,,,,,
2026-03-25T09:16:44.809180Z,,,QMI,lte,24201,33131,51287564,1450,172,-88.0,-12.3,-55.9,,,,,,,,
