timestamp,gps_lat,gps_lon,qmi_tag,rat_mode,lte_plmn,lte_tac,lte_ecgi,lte_earfcn,lte_pci,lte_rsrp_dbm,lte_rsrq_db,lte_rssi_dbm,nr_plmn,nr_tac,nr_nci,nr_arfcn,nr_pci,nr_rsrp_dbm,nr_rsrq_db,nr_snr_db
2026-03-21T07:18:07.724359Z,,,QMI,nsa,24214,62002,14548511,1850,222,-94.9,-14.0,-58.3,,,,629280,,,,
2026-03-21T07:18:14.525596Z,,,QMI,nsa,24214,62002,14548511,1850,222,-89.2,-9.3,-57.8,,,,629280,,,,
2026-03-21T07:18:20.707062Z,,,QMI,nsa,24214,62002,14548511,1850,222,-89.4,-11.5,-59.4,,,,629280,,,,
2026-03-21T07:18:26.936164Z,,,QMI,nsa,24214,62002,14548511,1850,222,-93.2,-20.0,-50.9,,,,629280,,,,
2026-03-21T07:21:18.337686Z,,,QMI,lte,24214,62002,4490271,1850,41,-87.8,-18.1,-49.7,,,,,,,,
2026-03-21T07:22:23.816734Z,,,QMI,lte,24214,62002,104473631,1850,81,-94.7,-11.3,-61.1,,,,,,,,
2026-03-21T07:22:29.336854Z,,,QMI,lte,24214,62002,104473631,1850,81,-117.4,-20.0,-62.4,,,,,,,,
2026-03-21T07:22:39.728146Z,,,QMI,lte,24214,62002,1203228,6200,136,-95.7,-12.7,-65.5,,,,,,,,
2026-03-21T07:23:06.138159Z,,,QMI,lte,24214,62002,64212501,1850,163,-96.9,-12.8,-61.2,,,,,,,,
2026-03-21T07:23:11.500063Z,,,QMI,lte,24214,62002,64212501,1850,163,-112.6,-20.0,-62.3,,,,,,,,
2026-03-21T07:24:11.761051Z,,,QMI,5gsa,,,,,,,,,24214,62005,20497531201,431790,29,-98.0,-13.0,5.5
2026-03-21T07:24:17.614418Z,,,QMI,5gsa,,,,,,,,,24214,62005,20497531101,431790,28,-118.0,-21.0,-12.5
2026-03-21T07:24:23.285699Z,,,QMI,5gsa,,,,,,,,,24214,62005,20497531201,431790,29,-105.0,-13.0,4.0
2026-03-21T07:24:28.884455Z,,,QMI,5gsa,,,,,,,,,24214,62005,20497531201,431790,29,-107.0,-14.0,-5.0
2026-03-21T07:24:34.727668Z,,,QMI,5gsa,,,,,,,,,24214,62005,20497531201,431790,29,-120.0,-21.0,-8.5
2026-03-21T07:24:41.045597Z,,,QMI,5gsa,,,,,,,,,24214,62005,20497531201,431790,29,-116.0,-21.0,-7.0
2026-03-21T07:24:48.666788Z,,,QMI,5gsa,,,,,,,,,24214,62005,20499333341,431790,548,-100.0,-12.0,8.0
2026-03-21T07:24:54.463994Z,,,QMI,5gsa,,,,,,,,,24214,62005,20499333341,431790,548,-107.0,-15.0,-1.5
2026-03-21T07:25:00.111367Z,,,QMI,5gsa,,,,,,,,,24214,62005,20499333341,431790,548,-104.0,-13.0,1.5
2026-03-21T07:25:05.726376Z,,,QMI,5gsa,,,,,,,,,24214,62005,20499333341,431790,548,-114.0,-20.0,-1.0
2026-03-21T07:25:11.321450Z,,,QMI,5gsa,,,,,,,,,24214,62005,20499333341,431790,548,-106.0,-13.0,3.5
2026-03-21T07:25:16.911468Z,,,QMI,5gsa,,,,,,,,,24214,62005,20499333341,431790,548,-111.0,-16.0,-5.0
2026-03-21T07:27:18.431956Z,,,QMI,5gsa,,,,,,,,,24214,62005,16470180161,431790,939,-113.0,-19.0,-1.0
2026-03-21T07:28:23.893372Z,,,QMI,5gsa,,,,,,,,,24214,62005,16470180161,431790,939,-112.0,-18.0,-7.0
