timestamp,gps_lat,gps_lon,qmi_tag,rat_mode,lte_plmn,lte_tac,lte_ecgi,lte_earfcn,lte_pci,lte_rsrp_dbm,lte_rsrq_db,lte_rssi_dbm,nr_plmn,nr_tac,nr_nci,nr_arfcn,nr_pci,nr_rsrp_dbm,nr_rsrq_db,nr_snr_db,lte_interfreq_neighbors_json
2026-05-07T08:19:59.039401Z,,,QMI,nsa,24201,33131,51284229,1450,227,-82.6,-8.0,-53.2,,,,643296,,,,,"[{""earfcn"":""3348"",""pci"":""408"",""rsrp"":""-102.7"",""rsrq"":""-9.7"",""rssi"":""-83.8""},{""earfcn"":""3150"",""pci"":""385"",""rsrp"":""-102.7"",""rsrq"":""-10.2"",""rssi"":""-83.5""}]"
2026-05-07T08:20:10.249984Z,,,QMI,lte,24201,33131,51284229,1450,227,-85.6,-10.1,-57.4,,,,,,,,,[]
2026-05-07T08:20:15.825675Z,,,QMI,lte,24201,33131,51284229,1450,227,-84.5,-13.5,-49.7,,,,,,,,,[]
2026-05-07T08:20:22.060279Z,,,QMI,lte,24201,33131,51284229,1450,227,-84.8,-8.4,-55.1,,,,,,,,,[]
2026-05-07T08:20:27.764525Z,,,QMI,nsa,24201,33131,51284229,1450,227,-83.1,-8.6,-54.3,,,,643296,,,,,"[{""earfcn"":""3348"",""pci"":""408"",""rsrp"":""-102.5"",""rsrq"":""-9.9"",""rssi"":""-85.1""},{""earfcn"":""3150"",""pci"":""385"",""rsrp"":""-99.8"",""rsrq"":""-9.0"",""rssi"":""-82.8""}]"
2026-05-07T08:20:33.240268Z,,,QMI,nsa,24201,33131,51284229,1450,227,-82.2,-8.5,-53.5,,,,643296,,,,,"[{""earfcn"":""3348"",""pci"":""408"",""rsrp"":""-100.0"",""rsrq"":""-10.1"",""rssi"":""-78.6""},{""earfcn"":""3150"",""pci"":""385"",""rsrp"":""-98.5"",""rsrq"":""-9.0"",""rssi"":""-78.5""}]"
2026-05-07T08:20:38.799958Z,,,QMI,lte,24201,33131,51284229,1450,227,-85.8,-8.3,-56.3,,,,,,,,,[]
2026-05-07T08:20:44.417750Z,,,QMI,lte,24201,33131,51284229,1450,227,-85.5,-9.3,-55.2,,,,,,,,,[]
2026-05-07T08:20:50.666053Z,,,QMI,lte,24201,33131,51284229,1450,227,-84.7,-8.4,-55.0,,,,,,,,,[]
2026-05-07T08:20:56.269814Z,,,QMI,nsa,24201,33131,51284229,1450,227,-83.4,-8.5,-54.3,,,,643296,,,,,"[{""earfcn"":""3348"",""pci"":""408"",""rsrp"":""-101.3"",""rsrq"":""-9.0"",""rssi"":""-85.4""},{""earfcn"":""3150"",""pci"":""385"",""rsrp"":""-100.7"",""rsrq"":""-8.5"",""rssi"":""-82.3""}]"
2026-05-07T08:21:01.930027Z,,,QMI,nsa,24201,33131,51284229,1450,227,-82.1,-7.9,-53.7,,,,643296,,,,,"[{""earfcn"":""3348"",""pci"":""408"",""rsrp"":""-102.7"",""rsrq"":""-9.2"",""rssi"":""-84.5""},{""earfcn"":""3150"",""pci"":""385"",""rsrp"":""-100.3"",""rsrq"":""-7.2"",""rssi"":""-84.3""}]"
2026-05-07T08:21:07.458086Z,,,QMI,nsa,24201,33131,51284229,1450,227,-83.1,-8.0,-54.5,,,,643296,,,,,"[{""earfcn"":""3348"",""pci"":""408"",""rsrp"":""-103.4"",""rsrq"":""-8.4"",""rssi"":""-86.0""},{""earfcn"":""3150"",""pci"":""385"",""rsrp"":""-102.1"",""rsrq"":""-8.2"",""rssi"":""-84.6""}]"
2026-05-07T12:54:51.077220Z,,,QMI,nsa,24201,33131,51284228,1450,73,-86.6,-7.4,-59.3,,,,643296,,,,,"[{""earfcn"":""3150"",""pci"":""384"",""rsrp"":""-98.8"",""rsrq"":""-8.4"",""rssi"":""-81.4""},{""earfcn"":""3150"",""pci"":""385"",""rsrp"":""-108.8"",""rsrq"":""-17.7"",""rssi"":""-81.4""},{""earfcn"":""3348"",""pci"":""409"",""rsrp"":""-97.1"",""rsrq"":""-8.7"",""rssi"":""-78.9""},{""earfcn"":""3348"",""pci"":""408"",""rsrp"":""-108.8"",""rsrq"":""-20.0"",""rssi"":""-78.9""}]"
2026-05-07T12:54:57.997491Z,,,QMI,lte,24201,33131,51284228,1450,73,-85.3,-9.7,-55.0,,,,,,,,,[]
2026-05-07T12:55:08.606766Z,,,QMI,nsa,24201,33131,51284228,1450,73,-85.1,-7.3,-58.3,,,,643296,,,,,"[{""earfcn"":""3150"",""pci"":""384"",""rsrp"":""-98.5"",""rsrq"":""-8.2"",""rssi"":""-81.3""},{""earfcn"":""3150"",""pci"":""385"",""rsrp"":""-111.5"",""rsrq"":""-18.2"",""rssi"":""-81.3""},{""earfcn"":""3348"",""pci"":""409"",""rsrp"":""-96.3"",""rsrq"":""-7.0"",""rssi"":""-80.3""},{""earfcn"":""3348"",""pci"":""408"",""rsrp"":""-110.7"",""rsrq"":""-18.5"",""rssi"":""-80.3""}]"
2026-05-07T12:55:34.325086Z,,,QMI,nsa,24201,33131,51284228,1450,73,-86.7,-8.3,-57.3,,,,643296,,,,,"[{""earfcn"":""3150"",""pci"":""384"",""rsrp"":""-98.9"",""rsrq"":""-8.2"",""rssi"":""-81.8""},{""earfcn"":""3150"",""pci"":""385"",""rsrp"":""-110.6"",""rsrq"":""-19.8"",""rssi"":""-81.8""},{""earfcn"":""3348"",""pci"":""409"",""rsrp"":""-97.8"",""rsrq"":""-7.9"",""rssi"":""-80.7""},{""earfcn"":""3348"",""pci"":""408"",""rsrp"":""-110.0"",""rsrq"":""-19.2"",""rssi"":""-81.6""}]"
2026-05-07T12:55:55.230286Z,,,QMI,nsa,24201,33131,51284228,1450,73,-86.3,-8.4,-57.3,,,,643296,,,,,"[{""earfcn"":""3150"",""pci"":""384"",""rsrp"":""-96.8"",""rsrq"":""-8.4"",""rssi"":""-79.4""},{""earfcn"":""3348"",""pci"":""409"",""rsrp"":""-98.7"",""rsrq"":""-9.0"",""rssi"":""-80.8""},{""earfcn"":""3348"",""pci"":""408"",""rsrp"":""-107.7"",""rsrq"":""-17.4"",""rssi"":""-80.8""}]"
2026-05-07T12:56:16.206595Z,,,QMI,nsa,24201,33131,51284228,1450,73,-84.9,-7.8,-57.3,,,,643296,,,,,"[{""earfcn"":""3150"",""pci"":""384"",""rsrp"":""-101.0"",""rsrq"":""-9.5"",""rssi"":""-82.2""},{""earfcn"":""3150"",""pci"":""385"",""rsrp"":""-112.5"",""rsrq"":""-19.9"",""rssi"":""-83.6""},{""earfcn"":""3348"",""pci"":""409"",""rsrp"":""-96.2"",""rsrq"":""-8.4"",""rssi"":""-79.0""},{""earfcn"":""3348"",""pci"":""408"",""rsrp"":""-110.1"",""rsrq"":""-20.0"",""rssi"":""-79.0""},{""earfcn"":""3348"",""pci"":""34"",""rsrp"":""-111.5"",""rsrq"":""-18.8"",""rssi"":""-82.4""}]"
2026-05-07T12:56:26.887197Z,,,QMI,nsa,24201,33131,51284228,1450,73,-86.3,-7.5,-58.4,,,,643296,,,,,"[{""earfcn"":""3150"",""pci"":""384"",""rsrp"":""-100.8"",""rsrq"":""-9.1"",""rssi"":""-82.3""},{""earfcn"":""3150"",""pci"":""385"",""rsrp"":""-109.0"",""rsrq"":""-17.1"",""rssi"":""-81.4""},{""earfcn"":""3348"",""pci"":""409"",""rsrp"":""-98.8"",""rsrq"":""-8.9"",""rssi"":""-80.2""},{""earfcn"":""3348"",""pci"":""408"",""rsrp"":""-108.2"",""rsrq"":""-19.0"",""rssi"":""-80.2""},{""earfcn"":""3348"",""pci"":""34"",""rsrp"":""-107.5"",""rsrq"":""-19.6"",""rssi"":""-78.7""}]"
2026-05-07T12:56:52.513906Z,,,QMI,nsa,24201,33131,51284228,1450,73,-86.4,-7.3,-59.1,,,,643296,,,,,"[{""earfcn"":""3150"",""pci"":""384"",""rsrp"":""-97.9"",""rsrq"":""-8.8"",""rssi"":""-80.1""},{""earfcn"":""3150"",""pci"":""385"",""rsrp"":""-108.6"",""rsrq"":""-19.1"",""rssi"":""-80.6""},{""earfcn"":""3348"",""pci"":""409"",""rsrp"":""-96.9"",""rsrq"":""-8.6"",""rssi"":""-79.3""},{""earfcn"":""3348"",""pci"":""408"",""rsrp"":""-109.7"",""rsrq"":""-17.1"",""rssi"":""-79.3""}]"
2026-05-07T12:57:08.176462Z,,,QMI,nsa,24201,33131,51284228,1450,73,-87.5,-7.3,-59.6,,,,643296,,,,,"[{""earfcn"":""3150"",""pci"":""384"",""rsrp"":""-93.7"",""rsrq"":""-8.0"",""rssi"":""-76.2""},{""earfcn"":""3150"",""pci"":""385"",""rsrp"":""-108.1"",""rsrq"":""-20.0"",""rssi"":""-76.2""},{""earfcn"":""3348"",""pci"":""409"",""rsrp"":""-94.8"",""rsrq"":""-8.5"",""rssi"":""-77.2""},{""earfcn"":""3348"",""pci"":""408"",""rsrp"":""-107.2"",""rsrq"":""-20.0"",""rssi"":""-77.2""}]"
2026-05-07T12:57:28.980907Z,,,QMI,nsa,24201,33131,51284228,1450,73,-89.7,-10.3,-57.6,,,,643296,,,,,"[{""earfcn"":""3150"",""pci"":""384"",""rsrp"":""-101.5"",""rsrq"":""-10.7"",""rssi"":""-82.0""},{""earfcn"":""3150"",""pci"":""385"",""rsrp"":""-104.8"",""rsrq"":""-12.9"",""rssi"":""-82.0""},{""earfcn"":""3348"",""pci"":""409"",""rsrp"":""-102.4"",""rsrq"":""-10.8"",""rssi"":""-80.5""},{""earfcn"":""3348"",""pci"":""408"",""rsrp"":""-104.7"",""rsrq"":""-15.5"",""rssi"":""-80.5""}]"
2026-05-07T12:57:54.543085Z,,,QMI,nsa,24201,33131,51621893,1450,90,-83.9,-12.8,-50.4,,,,643296,,,,,"[{""earfcn"":""3150"",""pci"":""402"",""rsrp"":""-100.7"",""rsrq"":""-16.5"",""rssi"":""-75.2""},{""earfcn"":""3150"",""pci"":""403"",""rsrp"":""-95.8"",""rsrq"":""-10.7"",""rssi"":""-75.2""},{""earfcn"":""3150"",""pci"":""384"",""rsrp"":""-99.7"",""rsrq"":""-15.4"",""rssi"":""-75.2""},{""earfcn"":""3348"",""pci"":""409"",""rsrp"":""-101.9"",""rsrq"":""-14.5"",""rssi"":""-78.2""},{""earfcn"":""3348"",""pci"":""65"",""rsrp"":""-101.9"",""rsrq"":""-14.8"",""rssi"":""-78.2""},{""earfcn"":""3348"",""pci"":""63"",""rsrp"":""-101.2"",""rsrq"":""-12.7"",""rssi"":""-78.2""},{""earfcn"":""3348"",""pci"":""445"",""rsrp"":""-106.8"",""rsrq"":""-19.9"",""rssi"":""-77.9""},{""earfcn"":""1306"",""pci"":""123"",""rsrp"":""-87.6"",""rsrq"":""-12.3"",""rssi"":""-64.4""},{""earfcn"":""1306"",""pci"":""125"",""rsrp"":""-88.4"",""rsrq"":""-12.6"",""rssi"":""-64.4""},{""earfcn"":""1306"",""pci"":""106"",""rsrp"":""-91.9"",""rsrq"":""-16.0"",""rssi"":""-64.5""}]"
