timestamp,gps_lat,gps_lon,qmi_tag,rat_mode,lte_plmn,lte_tac,lte_ecgi,lte_earfcn,lte_pci,lte_rsrp_dbm,lte_rsrq_db,lte_rssi_dbm,nr_plmn,nr_tac,nr_nci,nr_arfcn,nr_pci,nr_rsrp_dbm,nr_rsrq_db,nr_snr_db,lte_interfreq_neighbors_json
2026-05-08T12:58:06.209666Z,,,QMI,lte,24201,33159,53366016,1450,9,-85.0,-15.5,-48.7,,,,,,,,,[]
2026-05-08T12:58:13.200769Z,,,QMI,lte,24201,33159,53366016,1450,9,-87.8,-13.0,-55.5,,,,,,,,,[]
2026-05-08T12:58:23.921470Z,,,QMI,lte,24201,33159,53366016,1450,9,-87.6,-12.5,-54.8,,,,,,,,,"[{""earfcn"":""1306"",""pci"":""294"",""rsrp"":""-92.2"",""rsrq"":""-11.0"",""rssi"":""-72.3""},{""earfcn"":""1306"",""pci"":""296"",""rsrp"":""-98.5"",""rsrq"":""-16.8"",""rssi"":""-72.3""},{""earfcn"":""300"",""pci"":""171"",""rsrp"":""-88.9"",""rsrq"":""-11.7"",""rssi"":""-68.4""},{""earfcn"":""300"",""pci"":""173"",""rsrp"":""-97.4"",""rsrq"":""-17.1"",""rssi"":""-68.4""},{""earfcn"":""300"",""pci"":""9"",""rsrp"":""-99.2"",""rsrq"":""-20.0"",""rssi"":""-68.3""},{""earfcn"":""300"",""pci"":""461"",""rsrp"":""-96.7"",""rsrq"":""-19.1"",""rssi"":""-68.6""}]"
2026-05-08T12:58:44.588251Z,,,QMI,lte,24201,33159,53366016,1450,9,-87.7,-10.9,-56.3,,,,,,,,,"[{""earfcn"":""1306"",""pci"":""294"",""rsrp"":""-88.2"",""rsrq"":""-8.8"",""rssi"":""-70.1""},{""earfcn"":""1306"",""pci"":""296"",""rsrp"":""-94.1"",""rsrq"":""-14.9"",""rssi"":""-70.1""},{""earfcn"":""300"",""pci"":""171"",""rsrp"":""-88.6"",""rsrq"":""-12.3"",""rssi"":""-65.8""},{""earfcn"":""300"",""pci"":""173"",""rsrp"":""-87.4"",""rsrq"":""-13.3"",""rssi"":""-65.8""},{""earfcn"":""300"",""pci"":""9"",""rsrp"":""-100.5"",""rsrq"":""-20.0"",""rssi"":""-70.5""}]"
2026-05-08T12:59:05.242836Z,,,QMI,lte,24201,33159,53366016,1450,9,-75.8,-8.9,-46.7,,,,,,,,,"[{""earfcn"":""1306"",""pci"":""294"",""rsrp"":""-76.3"",""rsrq"":""-10.1"",""rssi"":""-57.0""},{""earfcn"":""1306"",""pci"":""296"",""rsrp"":""-87.4"",""rsrq"":""-20.0"",""rssi"":""-57.0""},{""earfcn"":""1306"",""pci"":""295"",""rsrp"":""-96.1"",""rsrq"":""-20.0"",""rssi"":""-66.1""},{""earfcn"":""300"",""pci"":""171"",""rsrp"":""-78.7"",""rsrq"":""-8.4"",""rssi"":""-60.8""},{""earfcn"":""300"",""pci"":""173"",""rsrp"":""-86.1"",""rsrq"":""-16.3"",""rssi"":""-60.8""},{""earfcn"":""300"",""pci"":""172"",""rsrp"":""-98.9"",""rsrq"":""-20.0"",""rssi"":""-68.7""},{""earfcn"":""300"",""pci"":""9"",""rsrp"":""-91.6"",""rsrq"":""-16.7"",""rssi"":""-65.9""}]"
2026-05-08T12:59:25.889084Z,,,QMI,lte,24201,33159,53366016,1450,9,-67.8,-12.1,-38.4,,,,,,,,,"[{""earfcn"":""1306"",""pci"":""294"",""rsrp"":""-69.3"",""rsrq"":""-13.2"",""rssi"":""-50.6""},{""earfcn"":""1306"",""pci"":""296"",""rsrp"":""-78.1"",""rsrq"":""-17.5"",""rssi"":""-50.6""},{""earfcn"":""1306"",""pci"":""295"",""rsrp"":""-77.1"",""rsrq"":""-20.0"",""rssi"":""-50.6""},{""earfcn"":""300"",""pci"":""171"",""rsrp"":""-81.9"",""rsrq"":""-14.4"",""rssi"":""-58.4""},{""earfcn"":""300"",""pci"":""173"",""rsrp"":""-85.0"",""rsrq"":""-17.5"",""rssi"":""-58.4""},{""earfcn"":""300"",""pci"":""172"",""rsrp"":""-83.9"",""rsrq"":""-16.5"",""rssi"":""-58.4""},{""earfcn"":""300"",""pci"":""9"",""rsrp"":""-86.8"",""rsrq"":""-19.7"",""rssi"":""-58.1""},{""earfcn"":""300"",""pci"":""380"",""rsrp"":""-90.2"",""rsrq"":""-18.7"",""rssi"":""-62.6""}]"
2026-05-08T12:59:41.575237Z,,,QMI,lte,24201,33159,53366016,1450,9,-68.7,-10.2,-38.0,,,,,,,,,"[{""earfcn"":""1306"",""pci"":""294"",""rsrp"":""-75.3"",""rsrq"":""-10.6"",""rssi"":""-55.3""},{""earfcn"":""1306"",""pci"":""296"",""rsrp"":""-78.3"",""rsrq"":""-14.0"",""rssi"":""-55.3""},{""earfcn"":""1306"",""pci"":""295"",""rsrp"":""-82.0"",""rsrq"":""-17.0"",""rssi"":""-55.3""},{""earfcn"":""300"",""pci"":""171"",""rsrp"":""-82.6"",""rsrq"":""-16.3"",""rssi"":""-54.9""},{""earfcn"":""300"",""pci"":""173"",""rsrp"":""-74.6"",""rsrq"":""-10.7"",""rssi"":""-54.9""},{""earfcn"":""300"",""pci"":""172"",""rsrp"":""-76.9"",""rsrq"":""-10.5"",""rssi"":""-54.9""},{""earfcn"":""300"",""pci"":""380"",""rsrp"":""-91.8"",""rsrq"":""-20.0"",""rssi"":""-62.1""}]"
2026-05-08T12:59:52.246844Z,,,QMI,lte,24201,33159,53366018,1450,9,-76.1,-17.7,-48.1,,,,,,,,,"[{""earfcn"":""1306"",""pci"":""294"",""rsrp"":""-83.0"",""rsrq"":""-17.7"",""rssi"":""-48.6""},{""earfcn"":""1306"",""pci"":""296"",""rsrp"":""-79.3"",""rsrq"":""-19.8"",""rssi"":""-49.2""},{""earfcn"":""1306"",""pci"":""295"",""rsrp"":""-78.5"",""rsrq"":""-10.1"",""rssi"":""-57.3""},{""earfcn"":""300"",""pci"":""171"",""rsrp"":""-93.9"",""rsrq"":""-17.9"",""rssi"":""-64.6""},{""earfcn"":""300"",""pci"":""172"",""rsrp"":""-78.4"",""rsrq"":""-10.7"",""rssi"":""-57.3""}]"
2026-05-08T13:00:02.925479Z,,,QMI,lte,24201,33159,53366020,1450,261,-90.1,-17.6,-63.5,,,,,,,,,"[{""earfcn"":""1306"",""pci"":""294"",""rsrp"":""-103.6"",""rsrq"":""-20.0"",""rssi"":""-69.3""},{""earfcn"":""1306"",""pci"":""296"",""rsrp"":""-85.2"",""rsrq"":""-7.3"",""rssi"":""-69.3""},{""earfcn"":""1306"",""pci"":""295"",""rsrp"":""-100.2"",""rsrq"":""-19.4"",""rssi"":""-69.3""},{""earfcn"":""300"",""pci"":""173"",""rsrp"":""-86.9"",""rsrq"":""-9.0"",""rssi"":""-69.2""},{""earfcn"":""300"",""pci"":""172"",""rsrp"":""-99.6"",""rsrq"":""-20.0"",""rssi"":""-69.2""},{""earfcn"":""300"",""pci"":""9"",""rsrp"":""-92.4"",""rsrq"":""-14.1"",""rssi"":""-69.2""}]"
2026-05-08T13:00:13.606640Z,,,QMI,lte,24201,33159,53366020,1450,261,-91.8,-19.1,-63.7,,,,,,,,,"[{""earfcn"":""1306"",""pci"":""295"",""rsrp"":""-108.7"",""rsrq"":""-20.0"",""rssi"":""-72.3""},{""earfcn"":""1306"",""pci"":""296"",""rsrp"":""-83.9"",""rsrq"":""-7.8"",""rssi"":""-68.3""},{""earfcn"":""300"",""pci"":""173"",""rsrp"":""-85.4"",""rsrq"":""-10.9"",""rssi"":""-64.6""},{""earfcn"":""300"",""pci"":""9"",""rsrp"":""-93.7"",""rsrq"":""-18.1"",""rssi"":""-64.6""}]"
