Zone,Run,PLMN,Roaming (%),RSRP mean,n samples
Zone 1 (t+5–6 min),04.28,Ice HPLMN,0.0,-83.1,10
Zone 1 (t+5–6 min),05.02,Telenor VPLMN,50.0,-91.2,4
Zone 2 (t+12–15 min),03.25,Ice HPLMN,0.0,-90.3,30
Zone 2 (t+12–15 min),04.28,Ice HPLMN,0.0,-105.1,18
Zone 2 (t+12–15 min),04.29,Ice HPLMN,0.0,-87.2,18
Zone 2 (t+12–15 min),05.02,Telenor VPLMN,83.3,-93.4,12
Zone 3 (t+37–38 min),03.25,Ice HPLMN,0.0,-90.6,5
Zone 3 (t+37–38 min),04.28,Telenor VPLMN,62.5,-107.5,8
Zone 3 (t+37–38 min),04.29,Ice HPLMN,0.0,-79.8,6
Zone 3 (t+37–38 min),05.02,Ice HPLMN,0.0,-85.8,5
Zone 4 (t+66–70 min),03.25,Telenor VPLMN,100.0,-93.4,43
Zone 4 (t+66–70 min),04.28,Telenor VPLMN,100.0,-85.0,34
Zone 4 (t+66–70 min),04.29,Telenor VPLMN,100.0,-92.0,31
Zone 4 (t+66–70 min),05.02,Ice HPLMN,0.0,-93.1,26
Zone 5 (t+71–76 min),03.25,Telenor VPLMN,100.0,-98.5,3
Zone 5 (t+71–76 min),04.28,Telenor VPLMN,100.0,-85.0,37
Zone 5 (t+71–76 min),04.29,Ice HPLMN,22.7,-96.2,22
Zone 5 (t+71–76 min),05.02,Ice HPLMN,28.6,-94.1,35
Zone 6 (t+78–80 min),03.25,Ice HPLMN,20.0,-87.4,5
Zone 6 (t+78–80 min),04.28,Telenor VPLMN,100.0,-84.7,21
Zone 6 (t+78–80 min),04.29,Telenor VPLMN,100.0,-82.0,3
Zone 6 (t+78–80 min),05.02,Ice HPLMN,44.4,-87.5,9
Zone 7 (t+85–87 min),03.25,Telenor VPLMN,100.0,-82.3,7
Zone 7 (t+85–87 min),04.28,Ice HPLMN,0.0,-89.2,15
Zone 8 (t+89–100 min),03.25,Telenor VPLMN,87.4,-89.9,87
Zone 8 (t+89–100 min),04.28,Ice HPLMN,0.0,-88.8,47
Zone 8 (t+89–100 min),05.02,Telenor VPLMN,100.0,-87.0,14
